Pestisit,Urun,MRL_Limiti,Buhar_Basinci_Ref_25C,Sicaklik_C,Sicaklik_Sinifi,Ucuculuk_Gosterge_Index,Ucuculuk_Sinifi,1ml_Saf_Madde_ppm,Uygulanan_Ilac_Miktari_ml,Tahmini_Kalinti_ppm,Etiket
Methoxyfenozide,Beans without pods (Phaseolus spp.) (succulent seeds),0.3,0.01,20.9,0,-1.9733,Orta,1200.0,22.37,0.2736,0
Spirotetramat,Kiwifruit,0.02,0.01,16.7,0,-1.9451,Orta,1200.0,0.55,0.0109,0
Oxydemeton-Methyl,Eggs,0.05,0.01,31.1,1,-2.0417,Dusuk,1200.0,0.67,0.0236,0
Fenpyrazamine,"Grape, dried (= Currants, Raisins and Sultanas)",9.0,0.01,18.8,0,-1.9597,Orta,1200.0,843.71,9.5136,1
Imidacloprid,Pomegranate,1.0,4e-07,27.0,1,-6.4446,Cok Dusuk (Kalici),1540.0,5.11,1.0151,1
Trifloxystrobin,Maize fodder (dry),10.0,0.01,28.0,1,-2.0211,Dusuk,1200.0,179.05,5.9617,0
Spirotetramat,Tree nuts (group),0.5,0.01,22.3,0,-1.983,Orta,1200.0,25.57,0.3248,0
Deltamethrin,Cereal grains (group),2.0,2e-06,15.1,0,-5.512,Cok Dusuk (Kalici),500.0,16.07,2.2731,1
Carbaryl,Citrus fruits (group),15.0,0.01,30.7,1,-2.0395,Dusuk,1200.0,121.2,7.7216,0
Dithianon,Meat (from mammals other than marine mammals),0.01,0.01,15.8,0,-1.9392,Orta,1200.0,0.4,0.0069,0
Abamectin,Tomato,0.05,2e-07,31.9,1,-6.8567,Cok Dusuk (Kalici),1160.0,0.14,0.0282,0
Norflurazon,Edible offal (mammalian),0.3,0.01,26.4,1,-2.0105,Dusuk,1200.0,5.08,0.2942,0
Ethephon,"Wheat, hay and/or straw",7.0,0.01,32.2,1,-2.0491,Dusuk,1200.0,62.85,3.7051,0
Tebufenozide,"Raspberries, red, black",2.0,0.01,34.4,1,-2.0642,Dusuk,1200.0,9.64,0.9342,0
Flutriafol,Eggs,0.01,0.01,30.7,1,-2.0395,Dusuk,1200.0,0.14,0.012,1
Penthiopyrad,"Wheat, hay and/or straw",80.0,0.01,33.4,1,-2.0577,Dusuk,1200.0,906.42,68.9058,0
Saflufenacil,"Peas, shelled (succulent seeds)",0.01,0.01,33.2,1,-2.0562,Dusuk,1200.0,0.08,0.009,0
Kresoxim-Methyl,Pome fruits (group),0.15,0.01,34.8,1,-2.0669,Dusuk,1200.0,6.07,0.2057,1
Thiamethoxam,Barley,0.5,0.01,23.4,0,-1.9902,Orta,1200.0,13.52,0.2489,0
Chlordane,Sorghum grain,0.02,0.01,20.0,0,-1.9672,Orta,1200.0,0.94,0.0228,1
Valifenalate,Poultry fats,0.01,0.01,29.7,1,-2.0323,Dusuk,1200.0,0.06,0.0049,0
Fenazaquin,Plums (including fresh prunes) (subgroup),0.5,0.01,31.9,1,-2.0472,Dusuk,1200.0,2.88,0.2865,0
Amitraz,"Oranges, sweet, sour (including Orange-like hybrids) (subgroup)",0.5,0.01,30.2,1,-2.0362,Dusuk,1200.0,5.1,0.5497,1
Iprodione,Almonds,0.3,0.01,27.7,1,-2.0188,Dusuk,1200.0,3.66,0.2814,0
2-Phenylphenol,Pear,20.0,0.01,20.9,0,-1.9735,Orta,1200.0,4009.93,25.5315,1
Myclobutanil,Plums (including fresh prunes) (subgroup),2.0,0.01,29.5,1,-2.0311,Dusuk,1200.0,20.08,1.1431,0
Fluensulfone,Low growing berries (subgroup),0.5,0.01,17.8,0,-1.9525,Orta,1200.0,80.88,0.5033,1
Fenhexamid,Gooseberry,5.0,0.01,22.7,0,-1.9856,Orta,1200.0,385.53,6.505,1
Methoxyfenozide,Cranberry,0.7,0.01,18.6,0,-1.9583,Orta,1200.0,51.03,0.6248,0
Chlormequat,Oats,4.0,0.01,15.3,0,-1.9359,Orta,1200.0,245.44,5.445,1
Inpyrfluxam,Eggs,0.02,0.01,25.6,1,-2.0054,Dusuk,1200.0,0.13,0.0098,0
Fenamidone,"Fruiting vegetables, other than cucurbits (group)",1.5,0.01,22.7,0,-1.9854,Orta,1200.0,73.1,1.5028,1
Pirimicarb,Root and tuber vegetables (group),0.05,0.01,17.8,0,-1.9528,Orta,1200.0,6.0,0.0523,1
Endosulfan,"Squash, summer",0.5,0.01,21.3,0,-1.9759,Orta,1200.0,41.06,0.7048,1
Aminopyralid,Barley,0.1,0.01,16.8,0,-1.9462,Orta,1200.0,12.82,0.0994,0
Flusilazole,Cereal grains (group),0.2,0.01,30.7,1,-2.039,Dusuk,1200.0,2.05,0.1572,0
Clothianidin,Maize fodder (dry),0.01,0.01,29.9,1,-2.0338,Dusuk,1200.0,0.24,0.009,0
Acephate,Spices,0.2,0.226,24.1,0,-0.6443,Orta,1350.0,14.99,0.2127,1
Fenbuconazole,"Tea, green, black (black, fermented and dried)",30.0,0.01,30.8,1,-2.0396,Dusuk,1200.0,378.11,37.5909,1
Fipronil,Banana,0.005,0.01,27.0,1,-2.0145,Dusuk,1200.0,0.04,0.0042,0
"2,4-D",Meat (from mammals other than marine mammals),0.2,0.01,25.2,1,-2.0021,Dusuk,1200.0,3.51,0.1755,0
Zoxamide,"Grape, dried (= Currants, Raisins and Sultanas)",15.0,0.01,23.9,0,-1.9935,Orta,1200.0,1436.55,11.9216,0
Trifloxystrobin,"Wheat, hay and/or straw",5.0,0.01,15.2,0,-1.9355,Orta,1200.0,317.99,7.4993,1
Trifloxystrobin,"Lettuce, head",15.0,0.01,20.7,0,-1.9721,Orta,1200.0,1114.28,19.7537,1
Pirimicarb,"Onion, bulb",0.1,0.01,29.5,1,-2.0312,Dusuk,1200.0,2.87,0.0602,0
Propiconazole,"Soya bean, hay and/or straw",5.0,0.01,27.4,1,-2.017,Dusuk,1200.0,70.43,6.428,1
Dinotefuran,"Fruiting vegetables, cucurbits (group)",0.5,0.01,19.4,0,-1.9635,Orta,1200.0,70.66,0.4773,0
Dimethomorph,"Hops, dry",80.0,0.01,32.6,1,-2.052,Dusuk,1200.0,1118.82,108.9945,1
Imidacloprid,Mango,0.2,4e-07,29.2,1,-6.4919,Cok Dusuk (Kalici),1540.0,0.67,0.1616,0
Phorate,"Spices, seeds",0.5,0.01,21.9,0,-1.9803,Orta,1200.0,11.95,0.2652,0
Piperonyl Butoxide,Citrus juice,0.05,0.01,33.0,1,-2.055,Dusuk,1200.0,1.1,0.0672,1
Lufenuron,"Poultry, edible offal of",0.02,0.01,32.3,1,-2.0501,Dusuk,1200.0,0.53,0.0222,1
