pestisit_adi,kullanildigi_urun,mrl_limiti
Aldrin and Dieldrin,"Garden pea, shelled (succulent seeds)",1.0
Aldrin and Dieldrin,Milks,0.0060
Aldrin and Dieldrin,Cereal grains (group),0.02
Aldrin and Dieldrin,Poultry meat,0.2
Aldrin and Dieldrin,Pome fruits (group),0.05
Aldrin and Dieldrin,Leafy vegetables (group),0.05
Aldrin and Dieldrin,Citrus fruits (group),0.05
Aldrin and Dieldrin,Bulb vegetables (group),0.05
Aldrin and Dieldrin,Root and tuber vegetables (group),0.1
Aldrin and Dieldrin,Eggs,0.1
Aldrin and Dieldrin,Meat (from mammals other than marine mammals),0.2
Aldrin and Dieldrin,"Fruiting vegetables, cucurbits (group)",0.1
Aldrin and Dieldrin,Pulses (group),0.05
Aldrin and Dieldrin,Legume vegetables (group),0.05
Azinphos-Methyl,Spices,0.5
Captan,"Grape, dried (= Currants, Raisins and Sultanas)",50.0
Captan,Cherries (subgroup),25.0
Captan,"Spices, roots and rhizomes",0.05
Captan,Tomato,5.0
Captan,Peach,20.0
Captan,Strawberry,15.0
Captan,Plums (including fresh prunes) (subgroup),10.0
Captan,Pome fruits (group),15.0
Captan,Melons (except watermelon),10.0
Captan,Nectarine,3.0
Captan,"Raspberries, red, black",20.0
Captan,Blueberries,20.0
Captan,Grapes,25.0
Captan,Potato,0.05
Captan,Almonds,0.3
Captan,Cucumber,3.0
Carbaryl,Cranberry,5.0
Carbaryl,Beetroot,0.1
Carbaryl,Table olives,30.0
Carbaryl,"Peppers chili, dried",2.0
Carbaryl,"Peppers, sweet (including pimento or pimiento)",5.0
Carbaryl,"Maize oil, crude",0.1
Carbaryl,Maize,0.02
Carbaryl,"Wheat bran, unprocessed",2.0
Carbaryl,Tree nuts (group),1.0
Carbaryl,Tomato juice,3.0
Carbaryl,"Liver of cattle, goats, pigs & sheep",1.0
Carbaryl,"Spices, fruits and berries",0.8
Carbaryl,"Sunflower seed oil, crude",0.05
Carbaryl,"Wheat, hay and/or straw",30.0
Carbaryl,Tomato paste,10.0
Carbaryl,"Soya bean oil, crude",0.2
Carbaryl,Soya bean hulls,0.3
Carbaryl,"Soya bean, hay and/or straw",15.0
Carbaryl,Sweet corn (corn-on-the-cob),0.1
Carbaryl,"Turnip, Garden",1.0
Carbaryl,Asparagus,15.0
Carbaryl,Sunflower seed,0.2
Carbaryl,Wheat germ,1.0
Carbaryl,"Kidney of cattle, goats, pigs and sheep",3.0
Carbaryl,Sorghum forage (dry),50.0
Carbaryl,Carrot,0.5
Carbaryl,Wheat flour,0.2
Carbaryl,Tomato,5.0
Carbaryl,Sweet potato,0.02
Carbaryl,Almond hulls,50.0
Carbaryl,"Rice, hay and/or straw",120.0
Carbaryl,"Spices, roots and rhizomes",0.1
Carbaryl,"Rice bran, unprocessed",170.0
Carbaryl,Milks,0.05
Carbaryl,Peppers chili,0.5
Carbaryl,Soya bean (dry),0.2
Carbaryl,Rice hulls,50.0
Carbaryl,Meat (from mammals other than marine mammals),0.05
Carbaryl,Citrus fruits (group),15.0
Carbaryl,Maize fodder (dry),250.0
Carbaryl,Wheat,2.0
Carbaryl,"Olive oil, virgin",25.0
Carbaryl,Eggplant,1.0
Carbaryl,"Rice, polished",1.0
Carbaryl,Sweet corn cannery waste,7.4
Chlordane,"Rice, polished",0.02
Chlordane,Eggs,0.02
Chlordane,Oats,0.02
Chlordane,"Soya bean oil, refined",0.02
Chlordane,Rye,0.02
Chlordane,Pecan,0.02
Chlordane,Fruits and vegetables,0.02
Chlordane,Walnuts,0.02
Chlordane,Wheat,0.02
Chlordane,Sorghum grain,0.02
Chlordane,Milks,0.0020
Chlordane,Meat (from mammals other than marine mammals),0.05
Chlordane,"Soya bean oil, crude",0.05
Chlordane,"Cotton seed oil, crude",0.05
Chlordane,"Linseed oil, crude",0.05
Chlordane,Maize,0.02
Chlordane,Hazelnuts,0.02
Chlordane,Poultry meat,0.5
Chlordane,Almonds,0.02
Chlormequat,"Rye straw and fodder, dry",20.0
Chlormequat,Mammalian fats (except milk fats),0.1
Chlormequat,Milks,0.2
Chlormequat,Barley,2.0
Chlormequat,Grapes,0.04
Chlormequat,Cotton seed,0.5
Chlormequat,"Oat straw and fodder, dry",7.0
Chlormequat,Edible offal (mammalian),0.5
Chlormequat,Wheat germ,20.0
Chlormequat,"Barley, hay and/or straw",200.0
Chlormequat,Rye wholemeal,8.0
Chlormequat,Poultry meat,0.04
Chlormequat,Eggs,0.2
Chlormequat,Oats,4.0
Chlormequat,"Poultry, edible offal of",0.2
Chlormequat,"Rye bran, unprocessed",20.0
Chlormequat,Poultry fats,0.04
Chlormequat,"Wheat bran, unprocessed",10.0
Chlormequat,"Triticale, hay and/or straw",80.0
Chlormequat,Triticale,5.0
Chlormequat,Rye,6.0
Chlormequat,Meat (from mammals other than marine mammals),0.2
Chlormequat,"Wheat, hay and/or straw",200.0
Chlormequat,Wheat,4.0
Chlorpyrifos,Acerola,
"2,4-D",Tree nuts (group),0.2
"2,4-D",Eggs,0.01
"2,4-D",Stone fruits (group),0.05
"2,4-D",Berries and other small fruits,0.1
"2,4-D",Edible offal (mammalian),5.0
"2,4-D",Hay and/or straw of grasses for animal feed (subgroup),400.0
"2,4-D",Pome fruits (group),0.01
"2,4-D",Maize,0.05
"2,4-D","Poultry, edible offal of",0.05
"2,4-D","Soya bean, hay and/or straw",0.01
"2,4-D",Maize fodder (dry),40.0
"2,4-D","Wheat, hay and/or straw",100.0
"2,4-D",Sorghum grain,0.01
"2,4-D",Rye,2.0
"2,4-D",Potato,0.2
"2,4-D","Rice, husked",0.1
"2,4-D",Sugar cane,0.05
"2,4-D","Rice, hay and/or straw",10.0
"2,4-D",Sweet corn (corn-on-the-cob),0.05
"2,4-D",Milks,0.01
"2,4-D",Wheat,2.0
"2,4-D",Citrus fruits (group),1.0
"2,4-D",Meat (from mammals other than marine mammals),0.2
"2,4-D",Soya bean (dry),0.01
"2,4-D",Poultry meat,0.05
DDT,Poultry meat,0.3
DDT,Cereal grains (group),0.1
DDT,Carrot,0.2
DDT,Eggs,0.1
DDT,Milks,0.02
DDT,Meat (from mammals other than marine mammals),5.0
Dichlorvos,Rice,7.0
Dichlorvos,"Wheat bran, unprocessed",15.0
Dichlorvos,Mammalian fats (except milk fats),0.01
Dichlorvos,Edible offal (mammalian),0.01
Dichlorvos,Spices,0.1
Dichlorvos,"Poultry, edible offal of",0.01
Dichlorvos,Wheat flour,0.7
Dichlorvos,Poultry fats,0.01
Dichlorvos,Milks,0.01
Dichlorvos,Poultry meat,0.01
Dichlorvos,Wheat wholemeal,3.0
Dichlorvos,"Rice bran, unprocessed",15.0
Dichlorvos,"Rice, husked",1.5
Dichlorvos,"Rice, polished",0.15
Dichlorvos,Wheat,7.0
Dichlorvos,Meat (from mammals other than marine mammals),0.01
Dichlorvos,Eggs,0.01
Dicofol,"Tea, green, black (black, fermented and dried)",40.0
Dicofol,"Spices, roots and rhizomes",0.1
Dicofol,"Spices, seeds",0.05
Dicofol,"Spices, fruits and berries",0.1
Dimethoate,Milks,0.0010
Dimethoate,Eggs,0.0010
Dimethoate,Avocado,2.0
Dimethoate,Edible offal (mammalian),0.0010
Dimethoate,Mandarins (including mandarin-like hybrids) (subgroup),2.0
Dimethoate,Yard-long bean (pods),0.07
Dimethoate,Meat (from mammals other than marine mammals),0.0010
Dimethoate,Wheat germ,0.2
Dimethoate,Dry beans (subgroup),0.7
Dimethoate,"Wheat bran, processed",0.3
Dimethoate,Poultry meat,0.0010
Dimethoate,Poultry fats,0.0010
Dimethoate,Brussels sprouts,0.1
Dimethoate,"Wheat, hay and/or straw",4.0
Dimethoate,"Poultry, edible offal of",0.0010
Dimethoate,Mammalian fats (except milk fats),0.03
Dimethoate,Rape seed,0.15
Dimethoate,Tomato,0.01
Dimethoate,Wheat,0.06
Diphenylamine,Cattle liver,0.05
Diphenylamine,Apple juice,0.5
Diphenylamine,Cattle kidney,0.01
Diphenylamine,Pear,5.0
Diphenylamine,Cattle meat,0.01
Diphenylamine,Milks,0.01
Diphenylamine,Milk fats,0.01
Diphenylamine,Apple,10.0
Endosulfan,Cacao beans,0.2
Endosulfan,Tomato,0.5
Endosulfan,Cucumber,1.0
Endosulfan,Papaya,0.5
Endosulfan,Potato,0.05
Endosulfan,Macadamia nuts,0.02
Endosulfan,Melons (except watermelon),2.0
Endosulfan,"Poultry, edible offal of",0.03
Endosulfan,Milks,0.01
Endosulfan,Mango,0.5
Endosulfan,Avocado,0.5
Endosulfan,"Spices, seeds",1.0
Endosulfan,"Kidney of cattle, goats, pigs and sheep",0.03
Endosulfan,"Spices, fruits and berries",5.0
Endosulfan,Custard apple,0.5
Endosulfan,Cotton seed,0.3
Endosulfan,Eggs,0.03
Endosulfan,"Spices, roots and rhizomes",0.5
Endosulfan,"Tea, green, black (black, fermented and dried)",10.0
Endosulfan,Coffee beans,0.2
Endosulfan,"Persimmon, American",2.0
Endosulfan,Sweet potato,0.05
Endosulfan,"Liver of cattle, goats, pigs & sheep",0.1
Endosulfan,Milk fats,0.1
Endosulfan,Meat (from mammals other than marine mammals),0.2
Endosulfan,Hazelnuts,0.02
